Date	Open	High	Low	Close	Volume
30/06/2017	1162.2	1188.5	1161.55	1181.18	876924
03/07/2017	1178.7	1191.53	1171.55	1186.8	737978
04/07/2017	1186.65	1190.22	1175.03	1183.43	607567
05/07/2017	1180.4	1182.5	1172.5	1178	407928
06/07/2017	1179.5	1180.95	1170.05	1173.78	513394
07/07/2017	1175	1178.22	1162.75	1165.97	616045
10/07/2017	1203	1222.45	1189.47	1217.47	391804
11/07/2017	1213	1257.4	1213	1237.9	1768752
12/07/2017	1241.25	1241.65	1215.05	1219.72	1323225
13/07/2017	1222.5	1236	1213.3	1223.2	1565980
14/07/2017	1191.5	1212.5	1187.5	1198.72	2254216
17/07/2017	1198.85	1211.05	1191.1	1197.72	1105911
18/07/2017	1198.08	1221.5	1198.08	1204.18	954001
19/07/2017	1207.75	1230	1207.55	1224.8	1957788
20/07/2017	1224.63	1228.45	1215.25	1222.35	591252
21/07/2017	1217.45	1250	1217.28	1245.6	1074208
24/07/2017	1241	1270	1241	1265.35	1135701
25/07/2017	1262.88	1290	1259.2	1285.75	1339416
26/07/2017	1280	1287.5	1273.5	1278	729913
27/07/2017	1271.1	1292.4	1233.25	1240.85	2127652
28/07/2017	1240.5	1246.53	1221	1242.15	691376
31/07/2017	1235.5	1259.5	1231.5	1245.9	1009831
01/08/2017	1250	1260.38	1245.5	1250.83	873730
02/08/2017	1250	1254	1231	1236.9	625512
03/08/2017	1240	1251	1233.22	1244.72	941274
04/08/2017	1245.4	1264.15	1244	1261.4	693945
07/08/2017	1258.25	1260	1240.6	1251.72	942760
08/08/2017	1256	1264.3	1248.15	1251.53	536979
09/08/2017	1250	1261.43	1246.65	1256	496473
10/08/2017	1254.5	1260.3	1243.18	1255.72	763086
11/08/2017	1249.95	1267.5	1241.5	1248.03	697368
14/08/2017	1251.5	1254.95	1231.5	1234.7	393252
16/08/2017	1242	1271.9	1232.6	1246.18	686670
17/08/2017	1250.35	1252.5	1231.05	1242.83	876187
18/08/2017	1237	1274.95	1235.7	1256.9	1418678
21/08/2017	1252.75	1274.5	1247.15	1264.4	1152417
22/08/2017	1261.5	1269.75	1246	1248.78	565663
23/08/2017	1252.5	1258.4	1236.58	1244.72	781136
24/08/2017	1248.85	1258.97	1243.08	1248.3	811954
28/08/2017	1252.3	1252.7	1230.5	1243.65	1018398
29/08/2017	1241	1248	1231.97	1235.43	656301
30/08/2017	1240.5	1245	1230.05	1242.28	485391
31/08/2017	1242.5	1252.2	1233.33	1248.18	892332
01/09/2017	1240	1249.03	1218.28	1228.22	851165
04/09/2017	1226.55	1230.5	1219	1228.1	531272
05/09/2017	1230	1245	1218.53	1242.18	582997
06/09/2017	1234.08	1237.43	1225	1226.6	614382
07/09/2017	1229	1234.2	1225.53	1230.05	435318
08/09/2017	1226.88	1237	1226.28	1235.3	510567
11/09/2017	1235.6	1241.47	1225	1227.22	366382
12/09/2017	1236.95	1248.5	1228.5	1244.22	698230
13/09/2017	1250	1265.83	1237.6	1244.6	639490
14/09/2017	1241	1248.8	1235.95	1243.47	540755
15/09/2017	1249.5	1258.5	1242.5	1253.03	1472036
18/09/2017	1252.47	1259.47	1244.63	1249.53	363300
19/09/2017	1252.5	1252.5	1245.75	1249.13	391377
20/09/2017	1257	1257	1237.15	1246.78	667321
21/09/2017	1245.53	1270.5	1240	1262.45	1219370
22/09/2017	1259.95	1263.45	1246	1251.8	1217698
25/09/2017	1248.28	1267	1246.38	1255.38	799779
26/09/2017	1255	1263.2	1233	1237.33	724615
27/09/2017	1245	1256.1	1236.88	1247.5	1005178
28/09/2017	1247.35	1257	1226	1238.22	2166433
29/09/2017	1239.5	1242	1210.75	1217.97	992507
03/10/2017	1220	1227.15	1213.53	1224.22	961503
04/10/2017	1224.8	1227	1212.5	1221.15	650389
05/10/2017	1220.5	1221.72	1212.2	1214.8	842343
06/10/2017	1215	1227.5	1214.03	1223.33	694594
09/10/2017	1220.53	1233.97	1220.53	1227.05	886808
10/10/2017	1227.5	1234.97	1225.63	1229.63	611005
11/10/2017	1230	1257.22	1228.38	1250.18	763873
12/10/2017	1256.5	1277.5	1253.5	1274.1	2503178
13/10/2017	1274.1	1304.47	1261.5	1279.3	2033160
16/10/2017	1277.53	1295	1277.53	1292.2	609295
17/10/2017	1292.5	1307.47	1288.78	1297.28	721508
18/10/2017	1297.5	1306.83	1290	1293.3	757072
19/10/2017	1296	1297.9	1285.5	1291.7	43411
23/10/2017	1292	1314.5	1273.72	1293.95	943044
24/10/2017	1310	1310.45	1284.53	1289.2	669510
25/10/2017	1289.25	1307	1277.5	1279.95	552553
26/10/2017	1267.55	1284.58	1258.95	1269.43	1503776
27/10/2017	1269	1296.58	1265.15	1292.15	704635
30/10/2017	1293	1310	1290.85	1308.1	568626
31/10/2017	1300.65	1320	1300.65	1312	796317
01/11/2017	1312	1313.43	1289.43	1301.43	370941
02/11/2017	1304.25	1337	1303.38	1313.08	734211
03/11/2017	1316.2	1318.35	1301.4	1310.05	333443
06/11/2017	1310	1335.9	1305.88	1332.78	688500
07/11/2017	1335	1384	1333.03	1355.03	1348446
08/11/2017	1361.5	1379.5	1359.13	1367.5	701126
09/11/2017	1375	1375	1359.65	1368.2	576216
10/11/2017	1361.1	1363	1346.68	1354.38	678283
13/11/2017	1351.03	1388.7	1351.03	1379.48	748498
14/11/2017	1378.28	1378.28	1353.75	1357.3	828626
15/11/2017	1353	1377.5	1350.68	1352.65	3335417
16/11/2017	1355	1381.5	1343.48	1373.33	826741
17/11/2017	1374.05	1374.05	1351.8	1353.65	662732
20/11/2017	1357.5	1363.45	1347.65	1351.73	507249
21/11/2017	1350.5	1350.5	1333	1336.48	763870
22/11/2017	1336.5	1354.85	1336.2	1340.33	911312
23/11/2017	1340.5	1346.5	1334.5	1340.63	396735
24/11/2017	1341	1351.45	1336.55	1344.03	1143756
27/11/2017	1344	1347.95	1331.1	1342.93	928393
28/11/2017	1343	1351.2	1335	1342.65	455858
29/11/2017	1338.75	1346.5	1325	1329.08	723766
30/11/2017	1326.83	1333.48	1311.5	1318.5	2149981
01/12/2017	1317.5	1334	1310.75	1314.98	515572
04/12/2017	1311	1329.25	1301.47	1316.18	629552
05/12/2017	1315.5	1325.85	1314.08	1317.78	583957
06/12/2017	1318	1322.5	1306.43	1316.65	703759
07/12/2017	1316.15	1322.98	1307.5	1308.97	663150
08/12/2017	1309	1322.5	1298.5	1300.75	692774
11/12/2017	1304.18	1336.33	1304.18	1330.55	504001
12/12/2017	1330.5	1331	1303.7	1306.08	941123
13/12/2017	1305.7	1325.73	1300.5	1314.2	1480729
14/12/2017	1316	1316	1265.55	1278.9	2752075
15/12/2017	1281.88	1292.22	1268.43	1272.8	1359069
18/12/2017	1268.5	1294.47	1247.18	1290.25	1090332
19/12/2017	1288	1298.9	1282.35	1287.65	900976
20/12/2017	1291	1296.38	1275.33	1294.47	788785
21/12/2017	1293.5	1304	1290.03	1297.85	646824
22/12/2017	1302	1331.95	1295.1	1323.38	1832832
26/12/2017	1343	1344.88	1315.8	1324.73	1087893
27/12/2017	1324.73	1329.25	1305.25	1309.95	369642
28/12/2017	1304.4	1326.75	1302.83	1313.48	1302544
29/12/2017	1311.55	1354.45	1309.28	1350.6	1304771
01/01/2018	1341.15	1347.4	1317.5	1322.8	675880
02/01/2018	1330	1334.8	1310.1	1315.6	960145
03/01/2018	1316	1334.5	1315.6	1319.33	628560
04/01/2018	1325	1331	1320	1328.55	456541
05/01/2018	1325	1349.75	1325	1344.6	576853
08/01/2018	1350	1363.43	1340.93	1357.2	621110
09/01/2018	1357.5	1360.5	1338.28	1354.5	1074698
10/01/2018	1355.5	1408	1347.33	1403.3	1682925
11/01/2018	1405	1410.95	1391.1	1395.25	1260524
12/01/2018	1402.5	1402.5	1370.28	1388.18	1680157
15/01/2018	1388.58	1404	1367.53	1373.05	728607
16/01/2018	1378	1430.83	1375.28	1425.43	2133876
17/01/2018	1435	1462.5	1431.08	1444.48	2140403
18/01/2018	1448.5	1466.5	1434.03	1459.1	1104739
19/01/2018	1465.28	1491	1451.83	1479.65	910000
22/01/2018	1480.5	1567.35	1461	1558.2	2183555
23/01/2018	1557.48	1571.18	1545.03	1551	1619805
24/01/2018	1545	1629.53	1541.33	1587.3	2810769
25/01/2018	1587.5	1589.9	1540.5	1560.53	1916922
29/01/2018	1565.7	1612.5	1561	1599.43	1570530
30/01/2018	1590	1601.9	1571.85	1576.43	787379
31/01/2018	1568.5	1575	1549.3	1556.18	1521607
01/02/2018	1562	1595	1544.4	1569.3	1200315
02/02/2018	1560	1595	1551.73	1576.83	1228245
05/02/2018	1555	1594	1538.43	1551.6	1378871
06/02/2018	1505	1538.58	1492.5	1498.63	1328653
07/02/2018	1513.5	1515.5	1473.73	1477.53	1090162
08/02/2018	1489.88	1513.8	1479.5	1487.1	1377502
09/02/2018	1475	1497	1448.33	1485.85	1051229
12/02/2018	1489.15	1511.68	1477.78	1483.65	987281
14/02/2018	1485	1487.23	1446.25	1455.9	1423766
15/02/2018	1465.98	1471.5	1452.55	1462.93	1232618
16/02/2018	1461.5	1499.8	1461.5	1466.53	1257878
19/02/2018	1472.5	1476.65	1447.6	1461.8	784112
20/02/2018	1464	1492.53	1463.95	1472.38	944534
21/02/2018	1487	1531.3	1480.03	1521.15	1544614
22/02/2018	1526	1539.5	1511.25	1525.1	1731505
23/02/2018	1525	1544.5	1496.05	1537.9	1681250
26/02/2018	1537.5	1544.98	1510.6	1515.85	681941
27/02/2018	1520.5	1539.28	1516	1521.18	858900
28/02/2018	1517.5	1531.98	1510.73	1517.53	1353432
01/03/2018	1524.5	1530.6	1510	1518.85	859062
05/03/2018	1524.5	1556.83	1516.48	1552.93	1429084
06/03/2018	1561	1563.5	1515.08	1521.4	953382
07/03/2018	1535	1544.5	1509.25	1513.73	958886
08/03/2018	1527.45	1527.45	1493.75	1501.98	975913
09/03/2018	1502.5	1531.6	1488.6	1517.05	936218
12/03/2018	1521.5	1541.95	1517.75	1526.08	1045670
13/03/2018	1462.45	1469.85	1436	1443.4	44033577
14/03/2018	1446.48	1461.53	1437.53	1443.45	1834334
15/03/2018	1447.5	1451.28	1427.8	1434.85	1174453
16/03/2018	1434.4	1436	1402.5	1412.85	3598741
19/03/2018	1414.5	1424	1410	1415.5	1744970
20/03/2018	1410	1436.6	1409.5	1432.43	2012492
21/03/2018	1436.25	1442.15	1425	1428.38	1953839
22/03/2018	1429.98	1437.98	1411.28	1415.68	1163047
23/03/2018	1401	1417.05	1399.03	1409.08	1827061
26/03/2018	1409.5	1413.7	1390.78	1408.5	1482105
27/03/2018	1412.5	1431.5	1411.53	1423.85	1247287
28/03/2018	1417.95	1437.5	1412.5	1424.58	3432827
02/04/2018	1420	1457	1420	1454.83	831494
03/04/2018	1446.05	1464.95	1446.05	1455.63	968645
04/04/2018	1464.73	1467	1446	1455.45	1420910
05/04/2018	1463.28	1481.88	1460.18	1478.98	904712
06/04/2018	1477	1480	1463.28	1475.15	564509
09/04/2018	1469.85	1481.75	1457.5	1461.95	617933
10/04/2018	1462.85	1478.63	1462.85	1468.8	592266
11/04/2018	1475.3	1512.5	1472.8	1507.08	1562208
12/04/2018	1505	1575	1503.98	1569.63	3057180
13/04/2018	1575	1620.4	1566.05	1576.65	4089559
16/04/2018	1558	1599.98	1555.38	1593.83	3135137
17/04/2018	1593.83	1597.48	1573.6	1583.3	1650862
18/04/2018	1583	1596.73	1572.93	1579.55	1216533
19/04/2018	1589.95	1608.6	1582.88	1595.58	2410476
20/04/2018	1625	1711.18	1620	1701.23	9232831
23/04/2018	1712	1778.95	1694.78	1704.33	7592955
24/04/2018	1705	1721.58	1671.25	1692.83	4157168
25/04/2018	1692.5	1741.5	1682.53	1735.13	4098287
26/04/2018	1733.5	1780	1733.5	1769.63	6067517
27/04/2018	1762.5	1772	1710	1725.98	2250665
30/04/2018	1725.98	1774.5	1718.8	1766.05	1729279
02/05/2018	1765.25	1766.1	1735.65	1749.88	1579023
03/05/2018	1754.9	1763	1735.2	1740.93	1880775
04/05/2018	1746	1748.5	1735	1740.38	1173622
07/05/2018	1745	1745	1705.45	1710.48	1742213
08/05/2018	1717.35	1743.25	1698.35	1720.6	1496410
09/05/2018	1720.1	1747.38	1720.1	1744.65	1307525
10/05/2018	1751.48	1755.58	1720.1	1725.63	1929339
11/05/2018	1727.1	1742.5	1721.25	1728.48	1313938
14/05/2018	1728.5	1735.5	1705.4	1716.78	1216947
15/05/2018	1725	1747.9	1716.85	1741.2	976445
16/05/2018	1739.98	1754.5	1737.63	1746.95	824225
17/05/2018	1756.48	1766.58	1738	1745.9	1484024
18/05/2018	1740.4	1758.85	1729	1751.03	937498
21/05/2018	1764.35	1796	1759.03	1778.38	1723089
22/05/2018	1779	1787.48	1746.85	1754.45	928708
23/05/2018	1762.5	1772.5	1740.5	1747.55	753649
24/05/2018	1755	1807.5	1751.18	1801.85	1481158
25/05/2018	1812.5	1837.4	1786.28	1792.9	1884886
28/05/2018	1808.25	1808.25	1743	1751.03	1858399
29/05/2018	1764.95	1772	1744	1761.75	1762656
30/05/2018	1754.53	1766.5	1741.25	1757.05	1889553
31/05/2018	1734	1759.05	1726.1	1741.05	5049371
01/06/2018	1754	1758	1716	1732	1603856
04/06/2018	1745	1749	1712.6	1744.25	1681483
05/06/2018	1744	1751.9	1711.15	1721.6	2449568
06/06/2018	1723	1734.9	1715.2	1725.75	2236512
07/06/2018	1725	1749	1723.8	1735.55	2414762
08/06/2018	1735	1757.3	1735	1747.1	2582138
11/06/2018	1747.1	1763	1743	1749.7	2179378
12/06/2018	1757	1785	1753	1781	4608875
13/06/2018	1816	1831.65	1798	1824.1	5370983
14/06/2018	1830	1832.3	1784	1787.55	3819998
15/06/2018	1800	1847.1	1788.6	1840.05	9183574
18/06/2018	1867.95	1867.95	1822.15	1829	4674987
19/06/2018	1822.15	1839	1821	1824.5	3245034
20/06/2018	1832	1836.3	1818.6	1822.45	3107695
21/06/2018	1832	1832	1817.6	1819.35	2910659
22/06/2018	1827	1827	1799.55	1809.8	2949458
25/06/2018	1811.9	1822.35	1806	1819.25	2083217
26/06/2018	1823	1861	1821	1852	4679712
27/06/2018	1860	1885.15	1851.25	1858	4081208
28/06/2018	1865	1871	1826.3	1842.7	4888125
29/06/2018	1844.9	1867.4	1842.3	1847.75	3506276
02/07/2018	1852	1857.8	1841.1	1851.35	2650290
03/07/2018	1859.95	1879.9	1857.05	1874.05	3242233
04/07/2018	1879.9	1879.9	1857.15	1866.15	2700614
05/07/2018	1873	1887.5	1862.1	1880.3	2472571
06/07/2018	1882.85	1921	1881.65	1912.95	3713781
09/07/2018	1924	1924.4	1876.5	1883	6151747
10/07/2018	1898	1898.9	1870.75	1875.1	5303302
11/07/2018	1900	1998	1894.15	1979.9	22903802
12/07/2018	1984	1990.9	1960.5	1971.35	6921701
13/07/2018	1975	1997.9	1974	1981.1	4148185
16/07/2018	1990	1996	1977.45	1989.2	2582159
17/07/2018	1989	2009	1981	2002.15	3315492
18/07/2018	2005	2011.7	1993.05	2000.25	2013869
19/07/2018	2002.1	2010.45	1970	1981.4	1746318
20/07/2018	1984.9	2000	1984	1996.6	1934995
23/07/2018	2001	2009.95	1986	2005.65	2086201
24/07/2018	2015	2015	1984.15	1999	2038423
25/07/2018	2001.9	2002	1968.4	1981.5	1535492
26/07/2018	1974.95	1985	1955.1	1964.7	3503036
27/07/2018	1960.85	1964.65	1940.3	1943.75	2033977
30/07/2018	1943	1954.7	1931.55	1944.6	1579251
31/07/2018	1942	1947	1928	1940.2	2204803
01/08/2018	1949.95	1981.55	1949.8	1976.5	2425180
02/08/2018	1980	1985	1945	1948.4	1509287
03/08/2018	1956.5	1982.05	1956.5	1979.45	1505131
06/08/2018	1997	1998.95	1972.25	1975.55	1532249
07/08/2018	1978.2	1979.15	1960.5	1967.35	1353560
08/08/2018	1972	1978.3	1962	1974	1315062
09/08/2018	1980	1980.8	1966	1974.35	2060297
