Date	Open	High	Low	Close	Volume
04/04/2022	1889.75	1893	1873	1882.95	7364074
05/04/2022	1883.8	1889.6	1857.15	1861.1	5472024
06/04/2022	1855	1857.5	1822.15	1828.85	5407453
07/04/2022	1821.05	1828.15	1807.55	1811	5797544
08/04/2022	1823	1838	1808	1814.6	5131446
11/04/2022	1814	1814	1762.55	1766.55	8248407
12/04/2022	1757.5	1757.5	1727.75	1742.45	6456184
13/04/2022	1754.95	1757.5	1732	1748.55	6257693
18/04/2022	1605.5	1650	1590	1621.4	30523965
19/04/2022	1636.65	1636.65	1550	1562	17044923
20/04/2022	1575	1596.3	1563	1587.7	10678747
21/04/2022	1595	1627.2	1589.25	1618.8	7766514
22/04/2022	1604.35	1610.7	1582.4	1585.45	8134245
25/04/2022	1572.8	1572.8	1554.1	1561.1	7000570
26/04/2022	1577.2	1592	1566.55	1581	5345435
27/04/2022	1572.75	1572.75	1550.35	1552.8	8819356
28/04/2022	1570	1601.8	1557.45	1582.6	9245177
29/04/2022	1590	1597.3	1560.8	1567.55	9831395
02/05/2022	1550.9	1552.75	1531	1541	7072627
04/05/2022	1547.25	1570	1530.15	1535.55	6220959
05/05/2022	1560.05	1589.4	1557.45	1585.15	6144870
06/05/2022	1550	1561.85	1535.05	1542.85	6171472
09/05/2022	1540	1586.8	1522.15	1570.35	6832202
10/05/2022	1558	1569.15	1546.05	1553	6212545
11/05/2022	1549.95	1549.95	1511.6	1526.75	7846080
12/05/2022	1514	1527.5	1504.3	1508.8	7034979
13/05/2022	1519.3	1529.25	1498.1	1504.4	6723761
16/05/2022	1510	1511.85	1478.65	1489.1	6145331
17/05/2022	1494.9	1525	1480.9	1518.45	6516378
18/05/2022	1522	1549.7	1505.3	1509.2	6594126
19/05/2022	1481	1484.7	1417.65	1427.15	16561140
20/05/2022	1453	1466.75	1446.7	1455.15	10488908
23/05/2022	1455.1	1488	1450.05	1468.4	5887569
24/05/2022	1468.6	1469.55	1435.25	1441	5693167
25/05/2022	1435	1442.5	1399.25	1410.45	9630092
26/05/2022	1418	1430	1407.05	1423.95	13040065
27/05/2022	1443.95	1467	1437.4	1461.35	8284860
