Date	Open	High	Low	Close	Volume
29/07/2022	1237.35	1258.55	1232	1254.72	6982808
01/08/2022	1259.58	1293.88	1253.8	1287.43	7245568
02/08/2022	1286.25	1303.9	1280.78	1292.33	6423115
03/08/2022	1300	1305	1283.72	1303.18	6576824
04/08/2022	1305	1308.88	1267.5	1285.95	6676577
05/08/2022	1288	1289.4	1263.47	1267	6434433
08/08/2022	1265.5	1291.78	1265.5	1283.58	4691228
10/08/2022	1288.45	1294.95	1278.53	1291.25	4949442
11/08/2022	1301.55	1304.95	1290.1	1295.55	3783480
12/08/2022	1295.15	1320.68	1291.1	1316.5	5838244
16/08/2022	1323.1	1328.65	1313.65	1325.65	3049304
17/08/2022	1332.5	1338.45	1327.78	1332.58	3044037
18/08/2022	1330	1334.5	1320.1	1330.65	3419730
19/08/2022	1325	1330.85	1302.47	1306.93	4366123
22/08/2022	1308.5	1315.65	1293	1303.3	4371179
23/08/2022	1297	1326.6	1295.68	1323.4	4466619
24/08/2022	1320.05	1335	1317.68	1319.88	4785579
25/08/2022	1324.48	1331.45	1311.3	1316.03	3632902
26/08/2022	1316.5	1325	1303.5	1309	4957449
29/08/2022	1292.5	1327.5	1289.03	1298.83	9155684
30/08/2022	1307	1322.63	1288.3	1318.98	10678670
01/09/2022	1291.33	1302.47	1275.35	1280.2	9188434
02/09/2022	1280.2	1287.68	1262.85	1265.25	5999196
05/09/2022	1265.5	1290.75	1265.5	1284.9	5227785
06/09/2022	1286.5	1303	1286	1298.43	5030172
07/09/2022	1287.5	1297.45	1285	1290.88	3455942
08/09/2022	1294.13	1299	1285.5	1292.7	3256840
09/09/2022	1305	1305	1282	1284.65	3837302
12/09/2022	1285.28	1306	1285.28	1299.03	3431445
13/09/2022	1309	1314.85	1300.5	1309.88	4102114
14/09/2022	1287.5	1305	1286.38	1294.18	4004997
15/09/2022	1291.5	1301.78	1278.38	1281.35	4783723
16/09/2022	1271.88	1276.5	1245.5	1249.6	9330469
19/09/2022	1249.6	1261.35	1240.68	1251.22	3498286
20/09/2022	1261.22	1268.85	1247.35	1251.43	3881882
21/09/2022	1248.38	1266.5	1247.5	1254.88	4249172
22/09/2022	1243	1251.5	1236.05	1243.05	4757219
23/09/2022	1242.5	1247.97	1218.05	1219.75	4397194
26/09/2022	1197.03	1208.9	1187.58	1188.68	5759298
27/09/2022	1197	1213	1180.05	1198.13	7455448
